2020/09/24 17:52:45 Инициалиация файла для логирования завершена.
2020/09/24 17:52:45 Начато становление флагов.
2020/09/24 17:52:45 Начато чтение файла.
2020/09/24 17:52:45 Попытка открыть файл:  config.txt
2020/09/24 17:52:45 Файл  config.txt  успешно прочитан.
2020/09/24 17:52:45 Становление флагов прошло успешно.
2020/09/24 17:52:45 Начато создание папки для файлов
2020/09/24 17:52:45 Папка была создана.
2020/09/24 17:52:45 Попытка открыть файл:  C:\Users\Pavel\Documents\urls.txt
2020/09/24 17:52:45 Файл  C:\Users\Pavel\Documents\urls.txt  успешно прочитан.
2020/09/24 17:52:45 Проверка  html\file_0_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_0_.html
2020/09/24 17:52:45 Проверка  html\file_1_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_1_.html
2020/09/24 17:52:45 Проверка  html\file_2_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_2_.html
2020/09/24 17:52:45 Проверка  html\file_3_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_3_.html
2020/09/24 17:52:45 Проверка  html\file_4_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_4_.html
2020/09/24 17:52:45 Проверка  html\file_5_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_5_.html
2020/09/24 17:52:45 Проверка  html\file_6_.html  на существование
2020/09/24 17:52:45 Начато подключение к URL:  http://www.specialdefects.com/v2/
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_6_.html
2020/09/24 17:52:45 Проверка  html\file_7_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_7_.html
2020/09/24 17:52:45 Проверка  html\file_8_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_8_.html
2020/09/24 17:52:45 Проверка  html\file_9_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_9_.html
2020/09/24 17:52:45 Проверка  html\file_10_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_10_.html
2020/09/24 17:52:45 Проверка  html\file_11_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_11_.html
2020/09/24 17:52:45 Проверка  html\file_12_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_12_.html
2020/09/24 17:52:45 Проверка  html\file_13_.html  на существование
2020/09/24 17:52:45 Начинается скачивание файла:  html\file_13_.html
